#,节点,真实群组,预测群组,是否正确
1,user154,社区5,社区2,✗
2,user128,社区6,社区6,✓
3,user28,社区5,社区5,✓
4,user131,社区5,社区5,✓
5,user33,社区2,社区2,✓
6,user71,社区5,社区6,✗
7,user74,社区1,社区1,✓
8,user186,社区2,社区2,✓
9,user26,社区1,社区1,✗
10,user88,社区3,社区3,✓
11,user33,社区1,社区1,✓
12,user53,社区4,社区4,✓
13,user79,社区4,社区4,✓
14,user184,社区4,社区4,✓
15,user52,社区6,社区6,✓
16,user136,社区5,社区5,✓
17,user100,社区1,社区1,✓
18,user192,社区1,社区1,✓
19,user194,社区6,社区6,✓
20,user180,社区6,社区4,✗
21,user156,社区1,社区1,✓
22,user54,社区2,社区2,✓
23,user48,社区2,社区2,✓
24,user106,社区5,社区5,✓
25,user38,社区1,社区1,✓
26,user114,社区2,社区2,✓
27,user8,社区6,社区6,✓
28,user116,社区4,社区3,✗
29,user68,社区5,社区5,✓
30,user93,社区2,社区2,✓
31,user183,社区1,社区1,✓
