#,节点,真实群组,预测群组,是否正确
1,user111,社区1,社区1,✓
2,user23,社区6,社区6,✓
3,user87,社区5,社区5,✓
4,user55,社区3,社区6,✗
5,user24,社区4,社区4,✓
6,user83,社区3,社区1,✗
7,user120,社区5,社区5,✓
8,user20,社区1,社区1,✓
9,user169,社区4,社区4,✓
10,user26,社区4,社区4,✓
11,user49,社区5,社区5,✓
12,user140,社区6,社区6,✓
13,user17,社区6,社区1,✗
14,user192,社区1,社区1,✓
15,user189,社区1,社区1,✓
16,user27,社区3,社区3,✓
17,user162,社区4,社区4,✓
18,user46,社区6,社区4,✗
19,user58,社区3,社区3,✓
20,user189,社区2,社区2,✓
21,user196,社区1,社区1,✓
22,user165,社区3,社区3,✓
23,user39,社区5,社区5,✓
24,user37,社区1,社区1,✓
25,user48,社区1,社区1,✓
26,user184,社区6,社区6,✓
27,user5,社区1,社区1,✓
28,user2,社区2,社区2,✓
29,user103,社区5,社区5,✓
30,user180,社区4,社区4,✓
