#,节点,真实群组,预测群组,是否正确
1,user189,社区2,社区2,✓
2,user86,社区1,社区1,✓
3,user136,社区2,社区5,✗
4,user50,社区4,社区4,✓
5,user131,社区6,社区6,✓
6,user1,社区1,社区1,✓
7,user137,社区4,社区4,✓
8,user200,社区5,社区5,✓
9,user37,社区1,社区1,✓
10,user176,社区1,社区1,✓
11,user167,社区2,社区2,✓
12,user20,社区3,社区3,✓
13,user52,社区3,社区3,✓
14,user127,社区6,社区2,✗
15,user152,社区6,社区6,✓
16,user75,社区6,社区6,✓
17,user196,社区5,社区5,✓
18,user6,社区4,社区4,✓
19,user109,社区3,社区3,✓
20,user86,社区3,社区3,✓
21,user57,社区2,社区2,✓
22,user134,社区5,社区6,✗
23,user109,社区6,社区6,✓
24,user59,社区4,社区4,✓
25,user165,社区4,社区4,✓
26,user23,社区4,社区4,✓
27,user147,社区1,社区6,✗
28,user167,社区1,社区5,✗
29,user27,社区6,社区6,✓
