#,节点,真实角色,预测角色,是否正确
1,user179,跟风者,跟风者,✓
2,user174,劝阻者,劝阻者,✓
3,user91,跟风者,跟风者,✓
4,user182,跟风者,网暴者,✗
5,user101,跟风者,跟风者,✓
6,user142,跟风者,劝阻者,✗
7,user137,劝阻者,劝阻者,✓
8,user110,劝阻者,劝阻者,✓
9,user133,劝阻者,劝阻者,✓
10,user153,受害者,受害者,✓
11,user42,跟风者,跟风者,✓
12,user73,受害者,受害者,✓
13,user160,无关者,无关者,✓
14,user142,无关者,无关者,✓
15,user167,受害者,受害者,✓
16,user115,跟风者,跟风者,✓
17,user179,跟风者,跟风者,✓
18,user136,跟风者,跟风者,✓
19,user198,受害者,受害者,✓
20,user135,跟风者,跟风者,✓
21,user62,受害者,受害者,✓
22,user150,跟风者,无关者,✗
23,user148,无关者,跟风者,✗
24,user38,受害者,受害者,✓
25,user134,网暴者,网暴者,✓
26,user102,跟风者,跟风者,✓
27,user198,网暴者,网暴者,✓
28,user155,跟风者,跟风者,✓
29,user88,无关者,无关者,✓
30,user20,劝阻者,劝阻者,✓
