节点ID,用户编号,真实社区编号,预测社区编号,是否预测正确
0,user0,社区1,社区1,是
1,user1,社区1,社区1,是
2,user2,社区2,社区2,是
3,user3,社区1,社区1,是
4,user4,社区1,社区1,是
5,user5,社区2,社区2,是
6,user6,社区1,社区1,是
7,user7,社区1,社区1,是
8,user8,社区2,社区2,是
9,user9,社区2,社区3,否
10,user10,社区2,社区2,是
11,user11,社区1,社区1,是
12,user12,社区1,社区1,是
13,user13,社区1,社区1,是
14,user14,社区1,社区1,是
15,user15,社区2,社区2,是
16,user16,社区2,社区2,是
17,user17,社区2,社区2,是
18,user18,社区2,社区2,是
19,user19,社区1,社区1,是
20,user20,社区1,社区1,是
21,user21,社区2,社区1,否
22,user22,社区2,社区2,是
23,user23,社区1,社区1,是
24,user24,社区1,社区1,是
25,user25,社区1,社区1,是
26,user26,社区1,社区1,是
27,user27,社区2,社区2,是
28,user28,社区1,社区1,是
29,user29,社区2,社区1,否
30,user30,社区1,社区1,是
31,user31,社区2,社区3,否
32,user32,社区1,社区1,是
33,user33,社区1,社区1,是
34,user34,社区1,社区1,是
35,user35,社区1,社区1,是
36,user36,社区1,社区1,是
37,user37,社区1,社区1,是
38,user38,社区2,社区5,否
39,user39,社区1,社区1,是
40,user40,社区1,社区1,是
41,user41,社区1,社区1,是
42,user42,社区1,社区1,是
43,user43,社区1,社区1,是
44,user44,社区1,社区1,是
45,user45,社区1,社区1,是
46,user46,社区1,社区1,是
47,user47,社区1,社区1,是
48,user48,社区1,社区1,是
49,user49,社区1,社区1,是
50,user50,社区1,社区1,是
51,user51,社区2,社区2,是
52,user52,社区1,社区1,是
53,user53,社区1,社区1,是
54,user54,社区1,社区1,是
55,user55,社区2,社区1,否
56,user56,社区1,社区1,是
57,user57,社区1,社区1,是
58,user58,社区2,社区2,是
59,user59,社区1,社区1,是
60,user60,社区2,社区2,是
61,user61,社区1,社区1,是
62,user62,社区1,社区1,是
63,user63,社区1,社区1,是
64,user64,社区1,社区1,是
65,user65,社区3,社区2,否
66,user66,社区2,社区2,是
67,user67,社区2,社区2,是
68,user68,社区1,社区1,是
69,user69,社区1,社区1,是
70,user70,社区1,社区1,是
71,user71,社区1,社区1,是
72,user72,社区2,社区2,是
73,user73,社区1,社区1,是
74,user74,社区2,社区2,是
75,user75,社区4,社区2,否
76,user76,社区1,社区1,是
77,user77,社区1,社区1,是
78,user78,社区3,社区2,否
79,user79,社区2,社区2,是
80,user80,社区2,社区2,是
81,user81,社区1,社区1,是
82,user82,社区1,社区1,是
83,user83,社区2,社区2,是
84,user84,社区1,社区1,是
85,user85,社区1,社区1,是
86,user86,社区4,社区2,否
87,user87,社区1,社区2,否
