[INFO] ====== 任务: 网暴角色划分 ======
[INFO] 算法: APPNP  |  数据集: 社交网络数据集
[INFO] 加载数据集 ...
[INFO] 构建图结构与特征矩阵 ...
[INFO] 节点特征数: 128  类别数: 4
[INFO] 划分训练集 / 测试集 (训练节点数: 17976, 测试节点数: 4494) ...
[INFO] 初始化模型参数 ...
[INFO] 检测为 Baseline, 自动限制 hidden_dim=8 以加快速度。
[TRAIN] epoch 1/358  loss=1.4432  acc=0.1983
[TRAIN] epoch 2/358  loss=1.4016  acc=0.3144
[TRAIN] epoch 3/358  loss=1.3623  acc=0.4110
[TRAIN] epoch 4/358  loss=1.3217  acc=0.4953
[TRAIN] epoch 5/358  loss=1.2775  acc=0.5732
[TRAIN] epoch 6/358  loss=1.2301  acc=0.6095
[TRAIN] epoch 7/358  loss=1.1816  acc=0.6110
[TRAIN] epoch 8/358  loss=1.1351  acc=0.5959
[TRAIN] epoch 9/358  loss=1.0930  acc=0.5792
[TRAIN] epoch 10/358  loss=1.0565  acc=0.5683
[TRAIN] epoch 11/358  loss=1.0252  acc=0.5654
[TRAIN] epoch 12/358  loss=0.9973  acc=0.5701
[TRAIN] epoch 13/358  loss=0.9704  acc=0.5854
[TRAIN] epoch 14/358  loss=0.9429  acc=0.6086
[TRAIN] epoch 15/358  loss=0.9143  acc=0.6348
[TRAIN] epoch 16/358  loss=0.8852  acc=0.6638
[TRAIN] epoch 17/358  loss=0.8565  acc=0.6949
[TRAIN] epoch 18/358  loss=0.8287  acc=0.7196
[TRAIN] epoch 19/358  loss=0.8021  acc=0.7470
[TRAIN] epoch 20/358  loss=0.7766  acc=0.7719
[TRAIN] epoch 21/358  loss=0.7518  acc=0.7931
[TRAIN] epoch 22/358  loss=0.7275  acc=0.8073
[TRAIN] epoch 23/358  loss=0.7032  acc=0.8186
[TRAIN] epoch 24/358  loss=0.6788  acc=0.8333
[TRAIN] epoch 25/358  loss=0.6541  acc=0.8420
[TRAIN] epoch 26/358  loss=0.6293  acc=0.8485
[TRAIN] epoch 27/358  loss=0.6043  acc=0.8551
[TRAIN] epoch 28/358  loss=0.5795  acc=0.8609
[TRAIN] epoch 29/358  loss=0.5551  acc=0.8649
[TRAIN] epoch 30/358  loss=0.5312  acc=0.8676
[TRAIN] epoch 31/358  loss=0.5080  acc=0.8718
[TRAIN] epoch 32/358  loss=0.4858  acc=0.8769
[TRAIN] epoch 33/358  loss=0.4647  acc=0.8807
[TRAIN] epoch 34/358  loss=0.4447  acc=0.8834
[TRAIN] epoch 35/358  loss=0.4259  acc=0.8872
[TRAIN] epoch 36/358  loss=0.4085  acc=0.8905
[TRAIN] epoch 37/358  loss=0.3924  acc=0.8936
[TRAIN] epoch 38/358  loss=0.3776  acc=0.8961
[TRAIN] epoch 39/358  loss=0.3641  acc=0.8979
[TRAIN] epoch 40/358  loss=0.3518  acc=0.8994
[TRAIN] epoch 41/358  loss=0.3406  acc=0.9016
[TRAIN] epoch 42/358  loss=0.3304  acc=0.9028
[TRAIN] epoch 43/358  loss=0.3210  acc=0.9045
[TRAIN] epoch 44/358  loss=0.3126  acc=0.9054
[TRAIN] epoch 45/358  loss=0.3051  acc=0.9070
[TRAIN] epoch 46/358  loss=0.2984  acc=0.9083
[TRAIN] epoch 47/358  loss=0.2923  acc=0.9085
[TRAIN] epoch 48/358  loss=0.2869  acc=0.9097
[TRAIN] epoch 49/358  loss=0.2820  acc=0.9112
[TRAIN] epoch 50/358  loss=0.2775  acc=0.9112
[TRAIN] epoch 51/358  loss=0.2735  acc=0.9117
[TRAIN] epoch 52/358  loss=0.2698  acc=0.9130
[TRAIN] epoch 53/358  loss=0.2665  acc=0.9139
[TRAIN] epoch 54/358  loss=0.2634  acc=0.9154
[TRAIN] epoch 55/358  loss=0.2605  acc=0.9168
[TRAIN] epoch 56/358  loss=0.2578  acc=0.9183
[TRAIN] epoch 57/358  loss=0.2552  acc=0.9194
[TRAIN] epoch 58/358  loss=0.2527  acc=0.9197
[TRAIN] epoch 59/358  loss=0.2504  acc=0.9208
[TRAIN] epoch 60/358  loss=0.2481  acc=0.9215
[TRAIN] epoch 61/358  loss=0.2460  acc=0.9217
[TRAIN] epoch 62/358  loss=0.2439  acc=0.9230
[TRAIN] epoch 63/358  loss=0.2419  acc=0.9237
[TRAIN] epoch 64/358  loss=0.2400  acc=0.9241
[TRAIN] epoch 65/358  loss=0.2382  acc=0.9243
[TRAIN] epoch 66/358  loss=0.2364  acc=0.9252
[TRAIN] epoch 67/358  loss=0.2348  acc=0.9259
[TRAIN] epoch 68/358  loss=0.2332  acc=0.9257
[TRAIN] epoch 69/358  loss=0.2316  acc=0.9259
[TRAIN] epoch 70/358  loss=0.2301  acc=0.9261
[TRAIN] epoch 71/358  loss=0.2287  acc=0.9266
[TRAIN] epoch 72/358  loss=0.2273  acc=0.9270
[TRAIN] epoch 73/358  loss=0.2260  acc=0.9277
[TRAIN] epoch 74/358  loss=0.2247  acc=0.9283
[TRAIN] epoch 75/358  loss=0.2236  acc=0.9290
[TRAIN] epoch 76/358  loss=0.2225  acc=0.9288
[TRAIN] epoch 77/358  loss=0.2214  acc=0.9286
[TRAIN] epoch 78/358  loss=0.2204  acc=0.9290
