[INFO] ====== 任务: 网暴角色划分 ======
[INFO] 算法: GATv2  |  数据集: 社交网络数据集
[INFO] 加载数据集 ...
[INFO] 构建图结构与特征矩阵 ...
[INFO] 节点特征数: 128  类别数: 4
[INFO] 划分训练集 / 测试集 (训练节点数: 17976, 测试节点数: 4494) ...
[INFO] 初始化模型参数 ...
[INFO] 检测为 Baseline, 自动限制 hidden_dim=8 以加快速度。
[TRAIN] epoch 1/326  loss=2.2382  acc=0.3398
[TRAIN] epoch 2/326  loss=1.4839  acc=0.5701
[TRAIN] epoch 3/326  loss=1.1430  acc=0.6771
[TRAIN] epoch 4/326  loss=0.9705  acc=0.7003
[TRAIN] epoch 5/326  loss=0.8658  acc=0.7081
[TRAIN] epoch 6/326  loss=0.7968  acc=0.7187
[TRAIN] epoch 7/326  loss=0.7425  acc=0.7401
[TRAIN] epoch 8/326  loss=0.6846  acc=0.7690
[TRAIN] epoch 9/326  loss=0.6286  acc=0.7882
[TRAIN] epoch 10/326  loss=0.5798  acc=0.8097
[TRAIN] epoch 11/326  loss=0.5536  acc=0.8224
[TRAIN] epoch 12/326  loss=0.5321  acc=0.8313
[TRAIN] epoch 13/326  loss=0.5189  acc=0.8391
[TRAIN] epoch 14/326  loss=0.4978  acc=0.8525
[TRAIN] epoch 15/326  loss=0.4745  acc=0.8598
[TRAIN] epoch 16/326  loss=0.4488  acc=0.8660
[TRAIN] epoch 17/326  loss=0.4206  acc=0.8705
[TRAIN] epoch 18/326  loss=0.4171  acc=0.8743
[TRAIN] epoch 19/326  loss=0.3944  acc=0.8794
[TRAIN] epoch 20/326  loss=0.3876  acc=0.8847
[TRAIN] epoch 21/326  loss=0.3771  acc=0.8879
[TRAIN] epoch 22/326  loss=0.3621  acc=0.8916
[TRAIN] epoch 23/326  loss=0.3556  acc=0.8941
[TRAIN] epoch 24/326  loss=0.3456  acc=0.8976
[TRAIN] epoch 25/326  loss=0.3343  acc=0.9014
[TRAIN] epoch 26/326  loss=0.3334  acc=0.9045
[TRAIN] epoch 27/326  loss=0.3155  acc=0.9074
[TRAIN] epoch 28/326  loss=0.3094  acc=0.9101
[TRAIN] epoch 29/326  loss=0.3048  acc=0.9114
[TRAIN] epoch 30/326  loss=0.3012  acc=0.9134
[TRAIN] epoch 31/326  loss=0.2871  acc=0.9141
[TRAIN] epoch 32/326  loss=0.2944  acc=0.9157
[TRAIN] epoch 33/326  loss=0.2810  acc=0.9172
[TRAIN] epoch 34/326  loss=0.2803  acc=0.9177
[TRAIN] epoch 35/326  loss=0.2745  acc=0.9179
[TRAIN] epoch 36/326  loss=0.2674  acc=0.9186
[TRAIN] epoch 37/326  loss=0.2616  acc=0.9192
[TRAIN] epoch 38/326  loss=0.2656  acc=0.9188
[TRAIN] epoch 39/326  loss=0.2607  acc=0.9190
[TRAIN] epoch 40/326  loss=0.2540  acc=0.9199
[TRAIN] epoch 41/326  loss=0.2513  acc=0.9206
[TRAIN] epoch 42/326  loss=0.2477  acc=0.9232
[TRAIN] epoch 43/326  loss=0.2485  acc=0.9259
[TRAIN] epoch 44/326  loss=0.2401  acc=0.9279
[TRAIN] epoch 45/326  loss=0.2395  acc=0.9279
[TRAIN] epoch 46/326  loss=0.2379  acc=0.9286
[TRAIN] epoch 47/326  loss=0.2355  acc=0.9295
[TRAIN] epoch 48/326  loss=0.2334  acc=0.9295
[TRAIN] epoch 49/326  loss=0.2323  acc=0.9290
[TRAIN] epoch 50/326  loss=0.2248  acc=0.9292
[TRAIN] epoch 51/326  loss=0.2282  acc=0.9299
[TRAIN] epoch 52/326  loss=0.2280  acc=0.9299
[TRAIN] epoch 53/326  loss=0.2220  acc=0.9304
[TRAIN] epoch 54/326  loss=0.2237  acc=0.9306
[TRAIN] epoch 55/326  loss=0.2218  acc=0.9317
[TRAIN] epoch 56/326  loss=0.2167  acc=0.9312
[TRAIN] epoch 57/326  loss=0.2150  acc=0.9324
[TRAIN] epoch 58/326  loss=0.2159  acc=0.9328
[TRAIN] epoch 59/326  loss=0.2133  acc=0.9332
[TRAIN] epoch 60/326  loss=0.2114  acc=0.9337
[TRAIN] epoch 61/326  loss=0.2117  acc=0.9341
[TRAIN] epoch 62/326  loss=0.2106  acc=0.9346
[TRAIN] epoch 63/326  loss=0.2081  acc=0.9355
[TRAIN] epoch 64/326  loss=0.2081  acc=0.9344
[TRAIN] epoch 65/326  loss=0.2048  acc=0.9350
[TRAIN] epoch 66/326  loss=0.2066  acc=0.9357
[TRAIN] epoch 67/326  loss=0.2032  acc=0.9352
[TRAIN] epoch 68/326  loss=0.1987  acc=0.9350
[TRAIN] epoch 69/326  loss=0.2007  acc=0.9350
[TRAIN] epoch 70/326  loss=0.1994  acc=0.9352
[TRAIN] epoch 71/326  loss=0.1985  acc=0.9364
[TRAIN] epoch 72/326  loss=0.1980  acc=0.9359
[TRAIN] epoch 73/326  loss=0.1979  acc=0.9366
[TRAIN] epoch 74/326  loss=0.1953  acc=0.9361
[TRAIN] epoch 75/326  loss=0.1960  acc=0.9366
[TRAIN] epoch 76/326  loss=0.1938  acc=0.9372
[TRAIN] epoch 77/326  loss=0.1920  acc=0.9375
[TRAIN] epoch 78/326  loss=0.1937  acc=0.9379
